FACID,NAME,ADDRESS,CITY,COUNTY,ZIP,TYPE,CAPACITY,LATITUDE,LONGITUDE,LOCATION
010000001,Golden Living Center - Petaluma,101 Monroe St,Petaluma,SONOMA,94954,Skilled Nursing Facility,99,38.256304,-122.627575,"(38.256304, -122.627575)"
010000003,Creekside Rehabilitation & Behavioral Health,850 Sonoma Ave,Santa Rosa,SONOMA,95404,Skilled Nursing Facility,181,38.439363,-122.706354,"(38.439363, -122.706354)"
010000004,Crescent City Nursing & Rehabilitation Center,1280 Marshall St,Crescent City,DEL NORTE,95531,Skilled Nursing Facility,99,41.768535,-124.200402,"(41.768535, -124.200402)"
010000005,Country Villa Petaluma Healthcare Center,523 Hayes Ln,Petaluma,SONOMA,94952,Skilled Nursing Facility,79,38.221764,-122.647288,"(38.221764, -122.647288)"
010000020,Fircrest Convalescent Hospital,7025 Corline Ct,Sebastopol,SONOMA,95472,Skilled Nursing Facility,50,38.389865,-122.813781,"(38.389865, -122.813781)"
010000022,Friends House,684 Benicia Dr,Santa Rosa,SONOMA,95409,Skilled Nursing Facility,34,38.471527,-122.673963,"(38.471527, -122.673963)"
010000024,Granada Healthcare And Rehabilitation Center,2885 Harris St,Eureka,HUMBOLDT,95503,Skilled Nursing Facility,87,40.780494,-124.135504,"(40.780494, -124.135504)"
010000026,Apple Valley Post-acute Rehabilitation,1035 Gravenstein Ave,Sebastopol,SONOMA,95472,Skilled Nursing Facility,95,38.389298,-122.815302,"(38.389298, -122.815302)"
010000028,Petaluma Health And Rehabilitation,300 Douglas St,Petaluma,SONOMA,94952,Skilled Nursing Facility,98,38.227872,-122.644499,"(38.227872, -122.644499)"
010000029,Healdsburg Senior Living Community,725 Grove St,Healdsburg,SONOMA,95448,Skilled Nursing Facility,38,38.626481,-122.875795,"(38.626481, -122.875795)"
010000033,Golden Living Center - Santa Rosa,4650 Hoen Ave,Santa Rosa,SONOMA,95405,Skilled Nursing Facility,99,38.441623,-122.665656,"(38.441623, -122.665656)"
010000034,Golden Living Center - London House Sonoma,678 2nd St W,Sonoma,SONOMA,95476,Skilled Nursing Facility,83,38.289114,-122.461707,"(38.289114, -122.461707)"
010000037,Cloverdale Healthcare Center,300 Cherry Creek Rd,Cloverdale,SONOMA,95425,Skilled Nursing Facility,72,38.79485,-123.02466,"(38.79485, -123.02466)"
010000043,Park View Gardens At Montgomery,3751 Montgomery Dr,Santa Rosa,SONOMA,95405,Skilled Nursing Facility,116,38.452262,-122.674944,"(38.452262, -122.674944)"
010000047,Northbrook Nursing And Rehab,64 Northbrook Way,Willits,MENDOCINO,95490,Skilled Nursing Facility,70,39.415173,-123.361254,"(39.415173, -123.361254)"
010000051,Pacific Healthcare And Rehabilitation Center,2211 Harrison Ave,Eureka,HUMBOLDT,95501,Skilled Nursing Facility,60,40.787505,-124.139644,"(40.787505, -124.139644)"
010000052,Petaluma Post-acute Rehabilitation,1115 B St,Petaluma,SONOMA,94952,Skilled Nursing Facility,90,38.222255,-122.645763,"(38.222255, -122.645763)"
010000059,Santa Rosa Convalescent Hospital,446 Arrowood Dr,Santa Rosa,SONOMA,95407,Skilled Nursing Facility,62,38.421457,-122.718761,"(38.421457, -122.718761)"
