"sch_code","county","pub_priv","district","school","enrollment","complete","start_year"
130419,"ALAMEDA","PUBLIC","ALAMEDA COUNTY OFFICE OF EDUCATION","ALAMEDA COUNTY COMMUNITY",,,2015
130401,"ALAMEDA","PUBLIC","ALAMEDA COUNTY OFFICE OF EDUCATION","ALAMEDA COUNTY JUVENILE HALL COURT",,,2015
123968,"ALAMEDA","PUBLIC","ALAMEDA COUNTY OFFICE OF EDUCATION","COMMUNITY SCHOOL FOR CREATIVE EDUCATION",33,31,2015
6001788,"ALAMEDA","PUBLIC","ALAMEDA COUNTY OFFICE OF EDUCATION","COX ACADEMY",132,66,2015
109835,"ALAMEDA","PUBLIC","ALAMEDA COUNTY OFFICE OF EDUCATION","FAME PUBLIC CHARTER",,,2015
6002000,"ALAMEDA","PUBLIC","ALAMEDA COUNTY OFFICE OF EDUCATION","LAZEAR CHARTER ACADEMY",70,60,2015
125567,"ALAMEDA","PUBLIC","ALAMEDA COUNTY OFFICE OF EDUCATION","URBAN MONTESSORI CHARTER",60,48,2015
124172,"ALAMEDA","PUBLIC","ALAMEDA COUNTY OFFICE OF EDUCATION","YU MING CHARTER",53,50,2015
6100374,"ALAMEDA","PUBLIC","ALAMEDA UNIFIED","AMELIA EARHART ELEMENTARY",137,133,2015
6110779,"ALAMEDA","PUBLIC","ALAMEDA UNIFIED","BAY FARM",63,63,2015
6090005,"ALAMEDA","PUBLIC","ALAMEDA UNIFIED","DONALD D. LUM ELEMENTARY",99,93,2015
6090013,"ALAMEDA","PUBLIC","ALAMEDA UNIFIED","EDISON ELEMENTARY",75,71,2015
6090021,"ALAMEDA","PUBLIC","ALAMEDA UNIFIED","FRANK OTIS ELEMENTARY",99,97,2015
6090039,"ALAMEDA","PUBLIC","ALAMEDA UNIFIED","FRANKLIN ELEMENTARY",72,71,2015
6090047,"ALAMEDA","PUBLIC","ALAMEDA UNIFIED","HENRY HAIGHT ELEMENTARY",69,68,2015
126656,"ALAMEDA","PUBLIC","ALAMEDA UNIFIED","MAYA LIN",64,57,2015
119222,"ALAMEDA","PUBLIC","ALAMEDA UNIFIED","NEA COMMUNITY LEARNING CENTER",48,45,2015
111765,"ALAMEDA","PUBLIC","ALAMEDA UNIFIED","RUBY BRIDGES ELEMENTARY",83,82,2015
6090120,"ALAMEDA","PUBLIC","ALAMEDA UNIFIED","WILLIAM G. PADEN ELEMENTARY",66,66,2015
6090146,"ALAMEDA","PUBLIC","ALBANY CITY UNIFIED","CORNELL ELEMENTARY",84,83,2015
6095376,"ALAMEDA","PUBLIC","ALBANY CITY UNIFIED","MARIN ELEMENTARY",84,84,2015
