iso3c,year,gdp_percap
AND,1994.0,
AND,1995.0,
AND,2006.0,
AND,2007.0,
AND,1996.0,
AND,1993.0,
AND,1997.0,
AND,1998.0,
AND,2008.0,
AND,2009.0,
AND,2001.0,
AND,1991.0,
AND,2005.0,
AND,2012.0,
AND,2003.0,
AND,1999.0,
AND,2011.0,
AND,1990.0,
AND,2002.0,
AND,2015.0,
AND,2004.0,
AND,1992.0,
AND,2013.0,
AND,2010.0,
AND,2e3,
AND,2014.0,
ARE,1999.0,79262.3864517508
ARE,2e3,84974.8940914508
ARE,2007.0,75426.793513296
ARE,2011.0,57594.1266833257
ARE,2014.0,67238.9952603094
ARE,2006.0,82754.2819759593
ARE,2012.0,61115.2094576989
ARE,1998.0,80040.2167031434
ARE,2008.0,69124.39621148
ARE,1996.0,79480.4674789064
ARE,2015.0,69970.8153425649
ARE,1997.0,83165.2631465984
ARE,2010.0,56245.4781588414
ARE,1995.0,77467.2448447408
ARE,2005.0,84338.3594071577
ARE,2013.0,64409.9082789585
ARE,2001.0,83533.5552161428
ARE,2003.0,85563.6364172279
ARE,1994.0,74683.8885943879
ARE,2009.0,59100.3805379711
ARE,2002.0,82369.6850171255
ARE,1991.0,73036.9966064691
ARE,1990.0,74017.3006503727
ARE,1992.0,73154.2777414922
ARE,1993.0,71959.8778674344
ARE,2004.0,87843.7081074576
AFG,2014.0,1942.48461012269
AFG,1998.0,
AFG,2013.0,1941.61004912662
AFG,1997.0,
AFG,2e3,
AFG,2012.0,1934.28563418865
AFG,1996.0,
AFG,1993.0,
AFG,1999.0,
AFG,1995.0,
AFG,2009.0,1525.51705383899
AFG,2004.0,940.476298982224
AFG,2003.0,945.686929858971
AFG,1994.0,
AFG,2008.0,1283.04098567395
AFG,2010.0,1629.16729020532
AFG,2007.0,1245.05922295101
AFG,2015.0,1925.16522757776
AFG,2011.0,1712.58871978343
AFG,1991.0,
AFG,2001.0,
AFG,2002.0,895.599148808249
AFG,1990.0,
AFG,1992.0,
AFG,2006.0,1095.65562841162
AFG,2005.0,1039.40824176659
ATG,1993.0,12415.4125099762
ATG,2007.0,24503.8448722277
ATG,1992.0,11766.78311059
ATG,2006.0,22040.9136607626
ATG,2014.0,22133.7550197495
ATG,1991.0,11594.5750617968
ATG,1994.0,13141.2021346337
ATG,2013.0,20999.0169177438
ATG,1995.0,12516.6004050914
ATG,2015.0,23062.2782651263
ATG,2005.0,19067.0682963067
ATG,2002.0,15372.5781886274
ATG,2012.0,20919.6550057426
ATG,1996.0,13236.8707325167
ATG,1990.0,11087.0174694648
ATG,2008.0,24723.1118920226
ATG,2011.0,19987.9241389288
ATG,2010.0,20151.3098656076
ATG,2003.0,16426.9243062482
ATG,2001.0,14907.0726348617
ATG,2009.0,21671.3757490895
ATG,1999.0,14554.4808304526
ATG,2004.0,17593.8762368924
ATG,2e3,15312.5664983907
ATG,1997.0,13732.7668301844
ATG,1998.0,14108.1120666511
ALB,2002.0,4754.6568019186
ALB,2001.0,4463.61485447873
ALB,2013.0,10578.7891099602
ALB,1999.0,3690.68088302017
ALB,1990.0,2721.62736645675
ALB,2014.0,11307.5492760222
ALB,2e3,4026.53742144641
ALB,1991.0,1992.08258511074
ALB,2012.0,10526.8686859838
ALB,2010.0,9646.58227742476
ALB,2015.0,11479.0874603266
ALB,1998.0,3208.97142122473
ALB,1993.0,2147.584702357
ALB,1996.0,3109.19738359823
ALB,2004.0,5524.94761611972
ALB,2003.0,5114.77504364822
ALB,1997.0,2837.36417525134
ALB,1992.0,1902.29487888488
ALB,2009.0,8823.86148549252
ALB,2005.0,5942.85897200559
ALB,1994.0,2389.95761873496
ALB,2011.0,10209.2009870254
ALB,1995.0,2781.42641039529
ALB,2007.0,7289.60541749214
ALB,2006.0,6634.75447520007
ALB,2008.0,8228.328189132
ARM,2e3,2313.33194570309
ARM,2001.0,2605.77161787354
ARM,2005.0,4716.24327265172
ARM,1991.0,2223.44426285485
