district,sch_code,county,pub_priv,school,enrollment,complete,start_year
ALAMEDA COUNTY OFFICE OF EDUCATION,0130419,ALAMEDA,PUBLIC,ALAMEDA COUNTY COMMUNITY,,,2015
ALAMEDA COUNTY OFFICE OF EDUCATION,0130401,ALAMEDA,PUBLIC,ALAMEDA COUNTY JUVENILE HALL COURT,,,2015
ALAMEDA COUNTY OFFICE OF EDUCATION,0123968,ALAMEDA,PUBLIC,COMMUNITY SCHOOL FOR CREATIVE EDUCATION,33,31,2015
ALAMEDA COUNTY OFFICE OF EDUCATION,6001788,ALAMEDA,PUBLIC,COX ACADEMY,132,66,2015
ALAMEDA COUNTY OFFICE OF EDUCATION,0109835,ALAMEDA,PUBLIC,FAME PUBLIC CHARTER,,,2015
ALAMEDA COUNTY OFFICE OF EDUCATION,6002000,ALAMEDA,PUBLIC,LAZEAR CHARTER ACADEMY,70,60,2015
ALAMEDA COUNTY OFFICE OF EDUCATION,0125567,ALAMEDA,PUBLIC,URBAN MONTESSORI CHARTER,60,48,2015
ALAMEDA COUNTY OFFICE OF EDUCATION,0124172,ALAMEDA,PUBLIC,YU MING CHARTER,53,50,2015
ALAMEDA UNIFIED,6100374,ALAMEDA,PUBLIC,AMELIA EARHART ELEMENTARY,137,133,2015
ALAMEDA UNIFIED,6110779,ALAMEDA,PUBLIC,BAY FARM,63,63,2015
ALAMEDA UNIFIED,6090005,ALAMEDA,PUBLIC,DONALD D. LUM ELEMENTARY,99,93,2015
ALAMEDA UNIFIED,6090013,ALAMEDA,PUBLIC,EDISON ELEMENTARY,75,71,2015
ALAMEDA UNIFIED,6090021,ALAMEDA,PUBLIC,FRANK OTIS ELEMENTARY,99,97,2015
ALAMEDA UNIFIED,6090039,ALAMEDA,PUBLIC,FRANKLIN ELEMENTARY,72,71,2015
ALAMEDA UNIFIED,6090047,ALAMEDA,PUBLIC,HENRY HAIGHT ELEMENTARY,69,68,2015
ALAMEDA UNIFIED,0126656,ALAMEDA,PUBLIC,MAYA LIN,64,57,2015
ALAMEDA UNIFIED,0119222,ALAMEDA,PUBLIC,NEA COMMUNITY LEARNING CENTER,48,45,2015
ALAMEDA UNIFIED,0111765,ALAMEDA,PUBLIC,RUBY BRIDGES ELEMENTARY,83,82,2015
ALAMEDA UNIFIED,6090120,ALAMEDA,PUBLIC,WILLIAM G. PADEN ELEMENTARY,66,66,2015
ALBANY CITY UNIFIED,6090146,ALAMEDA,PUBLIC,CORNELL ELEMENTARY,84,83,2015
ALBANY CITY UNIFIED,6095376,ALAMEDA,PUBLIC,MARIN ELEMENTARY,84,84,2015
ALBANY CITY UNIFIED,6116222,ALAMEDA,PUBLIC,OCEAN VIEW ELEMENTARY,145,132,2015
BERKELEY UNIFIED,6097729,ALAMEDA,PUBLIC,BERKELEY ARTS MAGNET AT WHITTIER,84,74,2015
BERKELEY UNIFIED,6090195,ALAMEDA,PUBLIC,CRAGMONT ELEMENTARY,58,53,2015
BERKELEY UNIFIED,6090211,ALAMEDA,PUBLIC,EMERSON ELEMENTARY,38,34,2015
BERKELEY UNIFIED,6090252,ALAMEDA,PUBLIC,JEFFERSON ELEMENTARY,96,88,2015
BERKELEY UNIFIED,6105316,ALAMEDA,PUBLIC,JOHN MUIR ELEMENTARY,55,33,2015
BERKELEY UNIFIED,6090278,ALAMEDA,PUBLIC,LECONTE ELEMENTARY,76,68,2015
BERKELEY UNIFIED,6090286,ALAMEDA,PUBLIC,MALCOLM X ELEMENTARY,119,96,2015
BERKELEY UNIFIED,6090302,ALAMEDA,PUBLIC,OXFORD ELEMENTARY,59,56,2015
BERKELEY UNIFIED,6090187,ALAMEDA,PUBLIC,ROSA PARKS ENVIRONMENTAL SCIENCE MAGNET,95,90,2015
BERKELEY UNIFIED,6090310,ALAMEDA,PUBLIC,THOUSAND OAKS ELEMENTARY,70,59,2015
BERKELEY UNIFIED,6090328,ALAMEDA,PUBLIC,WASHINGTON ELEMENTARY,91,61,2015
CALIFORNIA SCHOOL FOR THE DEAF-FREMONT -STATE SPECIAL SCHL-,0131763,ALAMEDA,PUBLIC,CALIFORNIA SCHOOL FOR THE DEAF-FREMONT,12,12,2015
CASTRO VALLEY UNIFIED,6090351,ALAMEDA,PUBLIC,CASTRO VALLEY ELEMENTARY,99,95,2015
CASTRO VALLEY UNIFIED,6090369,ALAMEDA,PUBLIC,CHABOT ELEMENTARY,76,74,2015
CASTRO VALLEY UNIFIED,6090393,ALAMEDA,PUBLIC,INDEPENDENT ELEMENTARY,120,114,2015
CASTRO VALLEY UNIFIED,6113005,ALAMEDA,PUBLIC,JENSEN RANCH ELEMENTARY,59,52,2015
CASTRO VALLEY UNIFIED,6090401,ALAMEDA,PUBLIC,MARSHALL ELEMENTARY,70,69,2015
CASTRO VALLEY UNIFIED,6090419,ALAMEDA,PUBLIC,PALOMARES ELEMENTARY,20,20,2015
CASTRO VALLEY UNIFIED,6090435,ALAMEDA,PUBLIC,PROCTOR ELEMENTARY,78,71,2015
CASTRO VALLEY UNIFIED,6090468,ALAMEDA,PUBLIC,STANTON ELEMENTARY,106,105,2015
CASTRO VALLEY UNIFIED,6090484,ALAMEDA,PUBLIC,VANNOY ELEMENTARY,62,57,2015
DUBLIN UNIFIED,6001374,ALAMEDA,PUBLIC,DUBLIN ELEMENTARY,161,155,2015
DUBLIN UNIFIED,6001390,ALAMEDA,PUBLIC,FREDERIKSEN ELEMENTARY,166,164,2015
DUBLIN UNIFIED,0123935,ALAMEDA,PUBLIC,HAROLD WILLIAM KOLB,151,150,2015
DUBLIN UNIFIED,0131615,ALAMEDA,PUBLIC,J. M. AMADOR ELEMENTARY,179,177,2015
DUBLIN UNIFIED,6118038,ALAMEDA,PUBLIC,JAMES DOUGHERTY ELEMENTARY,173,169,2015
DUBLIN UNIFIED,0114579,ALAMEDA,PUBLIC,JOHN GREEN ELEMENTARY,123,121,2015
DUBLIN UNIFIED,6001424,ALAMEDA,PUBLIC,MURRAY ELEMENTARY,114,109,2015
FREMONT UNIFIED,6104723,ALAMEDA,PUBLIC,ARDENWOOD ELEMENTARY,168,166,2015
FREMONT UNIFIED,6000558,ALAMEDA,PUBLIC,BRIER ELEMENTARY,144,144,2015
FREMONT UNIFIED,6089320,ALAMEDA,PUBLIC,BROOKVALE ELEMENTARY,177,171,2015
FREMONT UNIFIED,6000566,ALAMEDA,PUBLIC,CABRILLO ELEMENTARY,71,71,2015
FREMONT UNIFIED,6000590,ALAMEDA,PUBLIC,E. M. GRIMMER ELEMENTARY,101,98,2015
FREMONT UNIFIED,6111330,ALAMEDA,PUBLIC,FOREST PARK ELEMENTARY,141,140,2015
FREMONT UNIFIED,6106983,ALAMEDA,PUBLIC,FRED E. WEIBEL ELEMENTARY,142,136,2015
FREMONT UNIFIED,6000624,ALAMEDA,PUBLIC,GLENMOOR ELEMENTARY,101,100,2015
FREMONT UNIFIED,6000640,ALAMEDA,PUBLIC,HARVEY GREEN ELEMENTARY,72,71,2015
FREMONT UNIFIED,6000665,ALAMEDA,PUBLIC,J. HALEY DURHAM ELEMENTARY,168,162,2015
FREMONT UNIFIED,6000673,ALAMEDA,PUBLIC,JAMES LEITCH ELEMENTARY,270,268,2015
FREMONT UNIFIED,6000541,ALAMEDA,PUBLIC,JOHN BLACOW ELEMENTARY,102,101,2015
FREMONT UNIFIED,6000723,ALAMEDA,PUBLIC,JOHN G. MATTOS ELEMENTARY,75,74,2015
FREMONT UNIFIED,6066468,ALAMEDA,PUBLIC,JOHN GOMES ELEMENTARY,146,142,2015
FREMONT UNIFIED,6000681,ALAMEDA,PUBLIC,JOSEPH AZEVADA ELEMENTARY,100,99,2015
