president,party
Andrew Jackson,Democratic
Martin van Buren,Democratic
James K. Polk,Democratic
Franklin Pierce,Democratic
James Buchanan,Democratic
Andrew Johnson,Democratic
Grover Cleveland,Democratic
Woodrow Wilson,Democratic
Franklin D. Roosevelt,Democratic
Harry S. Truman,Democratic
John F. Kennedy,Democratic
Lyndon B. Johnson,Democratic
Jimmy Carter,Democratic
William J. Clinton,Democratic
Barack Obama,Democratic
Thomas Jefferson,Democratic-Republican
James Madison,Democratic-Republican
James Monroe,Democratic-Republican
John Quincy Adams,Democratic-Republican
John Adams,Federalist
George Washington,None
John Tyler,None
Abraham Lincoln,Republican
Ulysses S. Grant,Republican
Rutherford B. Hayes,Republican
Chester A. Arthur,Republican
Benjamin Harrison,Republican
William McKinley,Republican
Theodore Roosevelt,Republican
William Howard Taft,Republican
Warren G. Harding,Republican
Calvin Coolidge,Republican
Herbert Hoover,Republican
Dwight D. Eisenhower,Republican
Richard Nixon,Republican
Gerald R. Ford,Republican
Ronald Reagan,Republican
George Bush,Republican
George W. Bush,Republican
Donald J. Trump,Republican
Zachary Taylor,Whig
Millard Fillmore,Whig
William Henry Harrison,Whig
James A. Garfield,Republican


