source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,RT @WhiteHouse: 2018 has been a year of historic accomplishments! https://t.co/6Iq5CFVdwY,01-01-2019 02:01:26,25861,0,true,1079920504268562432
Twitter for iPhone,...Remember this. Throughout the ages some things NEVER get better and NEVER change. You have Walls and you have Wheels. It was ALWAYS that way and it will ALWAYS be that way! Please explain to the Democrats that there can NEVER be a replacement for a good old fashioned WALL!,01-01-2019 01:05:39,28529,135209,false,1079906462753869825
Twitter for iPhone,The Democrats will probably submit a Bill being cute as always which gives everything away but gives NOTHING to Border Security namely the Wall. You see without the Wall there can be no Border Security - the Tech “stuff” is just by comparison meaningless bells &amp; whistles...,01-01-2019 00:51:43,22897,99239,false,1079902957938925568
Twitter for iPhone,MEXICO IS PAYING FOR THE WALL through the many billions of dollars a year that the U.S.A. is saving through the new Trade Deal the USMCA that will replace the horrendous NAFTA Trade Deal which has so badly hurt our Country. Mexico &amp; Canada will also thrive - good for all!,01-01-2019 00:40:26,23882,104440,false,1079900120047603713
Twitter for iPhone,HAPPY NEW YEAR! https://t.co/bHoPDPQ7G6,12-31-2018 23:53:06,32999,132907,false,1079888205351145472
Twitter for iPhone,Heads of countries are calling wanting to know why Senator Schumer is not approving their otherwise approved Ambassadors!? Likewise in Government lawyers and others are being delayed at a record pace! 360 great and hardworking people are waiting for approval from....,12-31-2018 20:02:52,20519,74566,false,1079830267274108930
Twitter for iPhone,....Senator Schumer more than a year longer than any other Administration in history. These are people who have been approved by committees and all others yet Schumer continues to hold them back from serving their Country! Very Unfair!,12-31-2018 20:02:52,17027,63013,false,1079830268708556800
Twitter for iPhone,It’s incredible how Democrats can all use their ridiculous sound bite and say that a Wall doesn’t work. It does and properly built almost 100%! They say it’s old technology - but so is the wheel. They now say it is immoral- but it is far more immoral for people to be dying!,12-31-2018 15:39:15,29355,125931,false,1079763923845419009
Twitter for iPhone,I’m in the Oval Office. Democrats come back from vacation now and give us the votes necessary for Border Security including the Wall. You voted yes in 2006 and 2013. One more yes but with me in office I’ll get it built and Fast!,12-31-2018 15:37:14,30742,131151,false,1079763419908243456
Twitter for iPhone,I’m in the Oval Office. Democrats come back from vacation now and give us the votes necessary for Border Security including the Wall. You voted yes in 2006 and 3013. One more yes but with me in office I’ll get it built and Fast!,12-31-2018 15:33:15,1123,4217,false,1079762413589807104
Twitter for iPhone,I am the only person in America who could say that “I’m bringing our great troops back home with victory” and get BAD press. It is Fake News and Pundits who have FAILED for years that are doing the complaining. If I stayed in Endless Wars forever they would still be unhappy!,12-31-2018 14:38:52,25252,111582,false,1079748730058870789
Twitter for iPhone,I campaigned on Border Security which you cannot have without a strong and powerful Wall. Our Southern Border has long been an “Open Wound” where drugs criminals (including human traffickers) and illegals would pour into our Country. Dems should get back here an fix now!,12-31-2018 13:29:32,21960,90883,false,1079731279032172545
Twitter for iPhone,.....Except the results are FAR BETTER than I ever said they were going to be! I campaigned against the NEVER ENDING WARS remember!,12-31-2018 13:19:13,15081,72353,false,1079728684427341825
Twitter for iPhone,...I campaigned on getting out of Syria and other places. Now when I start getting out the Fake News Media or some failed Generals who were unable to do the job before I arrived like to complain about me &amp; my tactics which are working. Just doing what I said I was going to do!,12-31-2018 13:12:40,22000,100819,false,1079727034673311746
Twitter for iPhone,If anybody but Donald Trump did what I did in Syria which was an ISIS loaded mess when I became President they would be a national hero. ISIS is mostly gone we’re slowly sending our troops back home to be with their families while at the same time fighting ISIS remnants......,12-31-2018 13:03:05,17379,79095,false,1079724622868819973
Twitter for iPhone,An all concrete Wall was NEVER ABANDONED as has been reported by the media. Some areas will be all concrete but the experts at Border Patrol prefer a Wall that is see through (thereby making it possible to see what is happening on both sides). Makes sense to me!,12-31-2018 12:51:22,20779,96655,false,1079721675346923520
Twitter for iPhone,President and Mrs. Obama built/has a ten foot Wall around their D.C. mansion/compound. I agree totally necessary for their safety and security. The U.S. needs the same thing slightly larger version!,12-30-2018 21:59:44,61730,233299,false,1079497288605683712
Twitter for iPhone,Great work by my Administration over the holidays to save Coast Guard pay during this #SchumerShutdown. No thanks to the Democrats who left town and are not concerned about the safety and security of Americans!,12-30-2018 16:56:09,32041,130761,false,1079420891807793152
Twitter for iPhone,Veterans on President Trump’s handling of Border Security - 62% Approval Rating. On being a strong leader - 59%.  AP Poll. Thank you!,12-30-2018 15:28:35,25749,123564,false,1079398853684707328
Twitter for iPhone,“It turns out to be true now that the Department of Justice and the FBI under President Obama rigged the investigation for Hillary and really turned the screws on Trump and now it looks like in a corrupt &amp; illegal way. The facts are out now. Whole Hoax exposed. @JesseBWatters,12-30-2018 03:15:36,44877,150051,false,1079214392758145024
Twitter for iPhone,“Absolutely nothing” (on Russian Collusion). Kimberley Strassel The Wall Street Journal. The Russian Collusion fabrication is the greatest Hoax in the history of American politics. The only Russian Collusion was with Hillary and the Democrats!,12-30-2018 03:01:28,30777,118155,false,1079210835963195392
Twitter for iPhone,2018 is being called “THE YEAR OF THE WORKER” by Steve Moore co-author of “Trumponomics.” It was indeed a great year for the American Worker with the “best job market in 50 years and the lowest unemployment rate ever for blacks and Hispanics and all workers. Big wage gains.”,12-29-2018 21:06:08,25797,109238,false,1079121410935660544
Twitter for iPhone,For those that naively ask why didn’t the Republicans get approval to build the Wall over the last year it is because IN THE SENATE WE NEED 10 DEMOCRAT VOTES and they will gives us “NONE” for Border Security! Now we have to do it the hard way with a Shutdown. Too bad! @FoxNews,12-29-2018 19:25:47,34525,144271,false,1079096156708319232
Twitter for iPhone,...children in question were very sick before they were given over to Border Patrol. The father of the young girl said it was not their fault he hadn’t given her water in days. Border Patrol needs the Wall and it will all end. They are working so hard &amp; getting so little credit!,12-29-2018 18:36:17,30202,129715,false,1079083702943211520
Twitter for iPhone,Any deaths of children or others at the Border are strictly the fault of the Democrats and their pathetic immigration policies that allow people to make the long trek thinking they can enter our country illegally. They can’t. If we had a Wall they wouldn’t even try! The two.....,12-29-2018 18:30:16,29363,120614,false,1079082188665171971
Twitter for iPhone,Just had a long and very good call with President Xi of China. Deal is moving along very well. If made it will be very comprehensive covering all subjects areas and points of dispute. Big progress being made!,12-29-2018 16:03:02,27724,142064,false,1079045134061371392
Twitter for iPhone,I am in the White House waiting for the Democrats to come on over and make a deal on Border Security. From what I hear they are spending so much time on Presidential Harassment that they have little time left for things like stopping crime and our military!,12-29-2018 15:52:24,30009,127523,false,1079042460800696320
Twitter for iPhone,The Mueller Angry Democrats recently deleted approximately 19000 Text messages between FBI Agent Lisa Page and her lover Agent Peter S. These Texts were asked for and INVALUABLE to the truth of the Witch Hunt Hoax. This is a total Obstruction of Justice. All Texts Demanded!,12-29-2018 15:42:50,32048,112010,false,1079040052234203141
