"playerID","nameFirst","nameLast","nameFull","teamID","teamName","salary","salary_mil"
"abreuto01","Tony","Abreu","Tony Abreu","SFN","San Francisco Giants",498000,0.498
"aceveal01","Alfredo","Aceves","Alfredo Aceves","BOS","Boston Red Sox",2650000,2.65
"ackledu01","Dustin","Ackley","Dustin Ackley","SEA","Seattle Mariners",2700000,2.7
"adamsda02","David","Adams","David Adams","NYA","New York Yankees",540000,0.54
"adamsma01","Matt","Adams","Matt Adams","SLN","St. Louis Cardinals",490000,0.49
"adamsmi03","Mike","Adams","Mike Adams","PHI","Philadelphia Phillies",5000000,5
"affelje01","Jeremy","Affeldt","Jeremy Affeldt","SFN","San Francisco Giants",6000000,6
"alberma01","Matt","Albers","Matt Albers","CLE","Cleveland Indians",1750000,1.75
"albural01","Al","Alburquerque","Al Alburquerque","DET","Detroit Tigers",500000,0.5
"allenco01","Cody","Allen","Cody Allen","CLE","Cleveland Indians",492600,0.4926
"alonsyo01","Yonder","Alonso","Yonder Alonso","SDN","San Diego Padres",1120000,1.12
"altuvjo01","Jose","Altuve","Jose Altuve","HOU","Houston Astros",505700,0.5057
"alvarhe01","Henderson","Alvarez","Henderson Alvarez","MIA","Miami Marlins",507900,0.5079
"alvarpe01","Pedro","Alvarez","Pedro Alvarez","PIT","Pittsburgh Pirates",700000,0.7
"amarial01","Alexi","Amarista","Alexi Amarista","SDN","San Diego Padres",497400,0.4974
"ambrihe01","Hector","Ambriz","Hector Ambriz","HOU","Houston Astros",493400,0.4934
"anderbr04","Brett","Anderson","Brett Anderson","OAK","Oakland Athletics",5750000,5.75
"andinro01","Robert","Andino","Robert Andino","SEA","Seattle Mariners",1600000,1.6
"andruel01","Elvis","Andrus","Elvis Andrus","TEX","Texas Rangers",5050000,5.05
"aokino01","Norichika","Aoki","Norichika Aoki","MIL","Milwaukee Brewers",1712500,1.7125
"arencjp01","J. P.","Arencibia","J. P. Arencibia","TOR","Toronto Blue Jays",505600,0.5056
"ariasjo01","Joaquin","Arias","Joaquin Arias","SFN","San Francisco Giants",925000,0.925
"arrieja01","Jake","Arrieta","Jake Arrieta","BAL","Baltimore Orioles",516500,0.5165
"arroybr01","Bronson","Arroyo","Bronson Arroyo","CIN","Cincinnati Reds",16445535,16.445535
"atchisc01","Scott","Atchison","Scott Atchison","NYN","New York Mets",700000,0.7
"aumonph01","Phillippe","Aumont","Phillippe Aumont","PHI","Philadelphia Phillies",490000,0.49
"avilaal01","Alex","Avila","Alex Avila","DET","Detroit Tigers",2950000,2.95
"avilalu01","Luis","Avilan","Luis Avilan","ATL","Atlanta Braves",491250,0.49125
"avilemi01","Mike","Aviles","Mike Aviles","CLE","Cleveland Indians",2250000,2.25
"axelrdy01","Dylan","Axelrod","Dylan Axelrod","CHA","Chicago Cubs",493000,0.493
"axforjo01","John","Axford","John Axford","MIL","Milwaukee Brewers",5000000,5
"ayalalu01","Luis","Ayala","Luis Ayala","BAL","Baltimore Orioles",1000000,1
"aybarer01","Erick","Aybar","Erick Aybar","LAA","Los Angeles Angels of Anaheim",8750000,8.75
"badenbu01","Burke","Badenhop","Burke Badenhop","MIL","Milwaukee Brewers",1550000,1.55
"bailean01","Andrew","Bailey","Andrew Bailey","BOS","Boston Red Sox",4100000,4.1
"baileho02","Homer","Bailey","Homer Bailey","CIN","Cincinnati Reds",5350000,5.35
"bakerjo01","John","Baker","John Baker","SDN","San Diego Padres",930000,0.93
"bakersc02","Scott","Baker","Scott Baker","CHN","Chicago White Sox",5500000,5.5
"balfogr01","Grant","Balfour","Grant Balfour","OAK","Oakland Athletics",4500000,4.5
"bardda01","Daniel","Bard","Daniel Bard","BOS","Boston Red Sox",1862500,1.8625
"barmecl01","Clint","Barmes","Clint Barmes","PIT","Pittsburgh Pirates",5500000,5.5
"barnebr02","Brandon","Barnes","Brandon Barnes","HOU","Houston Astros",491700,0.4917
"barneda01","Darwin","Barney","Darwin Barney","CHN","Chicago White Sox",562000,0.562
"bartoda02","Daric","Barton","Daric Barton","OAK","Oakland Athletics",1100000,1.1
"bassan01","Anthony","Bass","Anthony Bass","SDN","San Diego Padres",503600,0.5036
"bastaan01","Antonio","Bastardo","Antonio Bastardo","PHI","Philadelphia Phillies",1400000,1.4
"bautijo02","Jose","Bautista","Jose Bautista","TOR","Toronto Blue Jays",14000000,14
"baxtemi01","Mike","Baxter","Mike Baxter","NYN","New York Mets",500318,0.500318
"bayja01","Jason","Bay","Jason Bay","SEA","Seattle Mariners",1000000,1
"beachbr01","Brandon","Beachy","Brandon Beachy","ATL","Atlanta Braves",510000,0.51
"beavabl01","Blake","Beavan","Blake Beavan","SEA","Seattle Mariners",506700,0.5067
"beckejo02","Josh","Beckett","Josh Beckett","LAN","Los Angeles Dodgers",17000000,17
"beckhgo01","Gordon","Beckham","Gordon Beckham","CHA","Chicago Cubs",2925000,2.925
"belisma01","Matt","Belisle","Matt Belisle","COL","Colorado Rockies",4100000,4.1
"belisro01","Ronald","Belisario","Ronald Belisario","LAN","Los Angeles Dodgers",1450000,1.45
"bellhe01","Heath","Bell","Heath Bell","ARI","Arizona Diamondbacks",10000000,10
"beltbr01","Brandon","Belt","Brandon Belt","SFN","San Francisco Giants",531500,0.5315
"beltrad01","Adrian","Beltre","Adrian Beltre","TEX","Texas Rangers",16000000,16
"beltrca01","Carlos","Beltran","Carlos Beltran","SLN","St. Louis Cardinals",13000000,13
"benoijo01","Joaquin","Benoit","Joaquin Benoit","DET","Detroit Tigers",5500000,5.5
"berkmla01","Lance","Berkman","Lance Berkman","TEX","Texas Rangers",10000000,10
"bernaro01","Roger","Bernadina","Roger Bernadina","WAS","Washington Nationals",1212500,1.2125
"betanra01","Rafael","Betancourt","Rafael Betancourt","COL","Colorado Rockies",4250000,4.25
"betanyu01","Yuniesky","Betancourt","Yuniesky Betancourt","MIL","Milwaukee Brewers",900000,0.9
"betemwi01","Wilson","Betemit","Wilson Betemit","BAL","Baltimore Orioles",2000000,2
"biancje01","Jeff","Bianchi","Jeff Bianchi","MIL","Milwaukee Brewers",490000,0.49
"billich01","Chad","Billingsley","Chad Billingsley","LAN","Los Angeles Dodgers",11000000,11
"blacktr01","Travis","Blackley","Travis Blackley","OAK","Oakland Athletics",550000,0.55
