"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"3012660",-122.301967039,37.859568044,2007,"0103","1","4","4","03",0,1,"A",,,,,,1800,1,"C","C","A","RT 80","UNIVERSITY AV",2748,"W","N","2007-05-18",9370,"2007-01-04",1600,"01396",,"2","6","0","1",,"2","081","-","Y","ALA",4,80,"-","-",5.32,"H","-","W","Y",2,"A","-",22350,,"N","A","H","-","A","D","6","Y","A","08",0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3039542",-122.254375475,37.856861908,2007,"0103","0","3","4","09",0,1,"A",,,,,,1800,1,"D","C","A","RT 13","HILLEGASS AV",0,,"Y","2007-06-08",103,"2007-01-24",1645,"118","36","5","6","0","0",,"0","009","-","Y","ALA",4,13,"-","-",11.37,"I","5","N","Y",2,"A","-",21802,"A","N","A","H","-","A","D","0","Y","I",,0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045764",-122.279192815,37.853269693,2007,"0103","0","2","3","09",0,1,"A",,,,,,1200,1,"A","C","A","RT 13","SACRAMENTO ST",0,,"Y","2007-05-31",103,"2007-01-09",931,"143","33","5","6","0","0",,"0","014","-","Y","ALA",4,13,"-","-",12.76,"I","5","N","Y",2,"A","-",21801,"A","N","-","H","-","A","A","0","Y","A",,0,1,0,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045767",-122.267323153,37.8823165894,2007,"0103","0","3","3","10",0,1,"A","Y",,,,,1800,1,"G","B","B","OXFORD ST","ROSE ST",0,,"Y","2007-05-19",103,"2007-01-17",1532,"126","17","5","6","0","0",,"0","002","-","N",,0,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A",,0,1,0,0,1,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045772",0,0,2007,"0103","0","2","4","03",0,1,"A",,,,,,1500,1,"C","C","A","E SHORE AV","CEDAR ST",0,,"Y","2007-05-17",103,"2007-01-09",1406,"61","20","5","6","0","0",,"0","017","-","N",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","A","H","-","A","D","0","Y","A",,0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045775",-122.274506716,37.853859934,2007,"0103","0","3","4","10",0,1,"A","Y",,,,,2100,1,"D","B","B","RT 13","KING ST",0,,"Y","2007-05-31",103,"2007-01-17",1858,"127","34","5","6","0","0",,"0","012","-","Y","ALA",4,13,"-","-",12.5,"I","5","N","N",2,"A","-",21950,"A","F","A","H","-","C","A","0","Y","-","99",0,0,1,0,1,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045778",-122.258585655,37.8553733826,2007,"0103","0","7","3","11",0,1,"A","Y",,,,,2100,1,"G","B","D","WEBSTER ST","DANA ST",67,"E","N","2007-05-17",103,"2007-01-28",2027,"81","39","5","6","0","0",,"0","009","-","N",,0,0,,,0,,,,"N",2,"A","-",21954,"A","N","A","H","-","C","A","0","Y","N",,0,1,0,0,1,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045779",-122.291978406,37.868140757,2007,"0103","0","4","3","10",0,1,"A","Y",,,,,900,1,"D","C","B","RT 123","ADDISON ST",0,,"Y","2007-05-31",103,"2007-01-18",652,"143","32","5","6","0","0",,"0","016","-","Y","ALA",4,123,"-","-",3.08,"I","6","S","N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A",,0,1,0,0,1,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045780",-122.290973157,37.8814735413,2007,"0103","0","3","3","09",0,1,"A",,"Y",,,,1800,1,"D","G","A","GILMAN ST","SANTA FE",0,,"Y","2007-05-17",103,"2007-01-10",1631,"140","19","5","6","0","0",,"0","018","-","N",,0,0,,,0,,,,"N",2,"A","-",21802,"A","N","A","H","-","A","A","0","Y","-","-",0,1,0,0,0,0,1,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045782",-122.27330083,37.8740730286,2007,"0103","0","4","4","17",0,1,"A",,,,,,1800,1,"B","C","A","MARTIN LUTHER KING JR WY","DELAWARE ST",45,"S","N","2007-05-23",103,"2007-01-25",1500,"112","23","5","6","0","0",,"0","003","-","N",,0,0,,,0,,,,"Y",3,"A","-",22517,,"N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
