"type","occupation","women_workers","women_earnings","men_workers","men_earnings","year"
"Management, professional, and related","Chief executives",286,1811,764,2266,2013
"Management, professional, and related","General and operations managers",250,1161,698,1444,2013
"Management, professional, and related","Legislators",4,,6,,2013
"Management, professional, and related","Advertising and promotions managers",35,,18,,2013
"Management, professional, and related","Marketing and sales managers",353,1124,476,1658,2013
"Management, professional, and related","Public relations and fundraising managers",29,,21,,2013
"Management, professional, and related","Administrative services managers",38,,71,1232,2013
"Management, professional, and related","Computer and information systems managers",163,1549,407,1769,2013
"Management, professional, and related","Financial managers",613,1064,514,1518,2013
"Management, professional, and related","Compensation and benefits managers",8,,3,,2013
"Management, professional, and related","Human resources managers",152,1240,60,1536,2013
"Management, professional, and related","Training and development managers",17,,16,,2013
"Management, professional, and related","Industrial production managers",41,,215,1352,2013
"Management, professional, and related","Purchasing managers",89,1290,92,1441,2013
"Management, professional, and related","Transportation, storage, and distribution managers",58,920,194,1029,2013
"Management, professional, and related","Farmers, ranchers, and other agricultural managers",19,,78,716,2013
"Management, professional, and related","Construction managers",38,,376,1328,2013
"Management, professional, and related","Education administrators",450,1130,248,1543,2013
"Management, professional, and related","Architectural and engineering managers",13,,104,1898,2013
"Management, professional, and related","Food service managers",335,620,381,801,2013
"Management, professional, and related","Funeral service managers",3,,1,,2013
"Management, professional, and related","Gaming managers",4,,12,,2013
"Management, professional, and related","Lodging managers",53,858,45,,2013
"Management, professional, and related","Medical and health services managers",375,1224,154,1412,2013
"Management, professional, and related","Natural sciences managers",4,,8,,2013
"Management, professional, and related","Postmasters and mail superintendents",17,,13,,2013
"Management, professional, and related","Property, real estate, and community association managers",198,784,161,1068,2013
"Management, professional, and related","Social and community service managers",185,1004,94,1150,2013
"Management, professional, and related","Emergency management directors",3,,6,,2013
"Management, professional, and related","Managers, all other",905,1105,1527,1399,2013
"Management, professional, and related","Agents and business managers of artists, performers, and athletes",18,,20,,2013
"Management, professional, and related","Buyers and purchasing agents, farm products",5,,11,,2013
"Management, professional, and related","Wholesale and retail buyers, except farm products",88,930,71,871,2013
"Management, professional, and related","Purchasing agents, except wholesale, retail, and farm products",151,912,112,1116,2013
"Management, professional, and related","Claims adjusters, appraisers, examiners, and investigators",195,838,104,1144,2013
"Management, professional, and related","Compliance officers",99,1081,83,1170,2013
"Management, professional, and related","Cost estimators",13,,89,1071,2013
"Management, professional, and related","Human resources workers",366,958,131,1139,2013
"Management, professional, and related","Compensation, benefits, and job analysis specialists",59,1010,14,,2013
"Management, professional, and related","Training and development specialists",62,979,47,,2013
"Management, professional, and related","Logisticians",33,,58,1045,2013
"Management, professional, and related","Management analysts",229,1319,318,1614,2013
"Management, professional, and related","Meeting, convention, and event planners",80,901,15,,2013
"Management, professional, and related","Fundraisers",58,1084,22,,2013
"Management, professional, and related","Market research analysts and marketing specialists",110,967,80,1171,2013
"Management, professional, and related","Business operations specialists, all other",110,899,69,1226,2013
"Management, professional, and related","Accountants and auditors",945,1029,571,1268,2013
"Management, professional, and related","Appraisers and assessors of real estate",27,,33,,2013
"Management, professional, and related","Budget analysts",26,,31,,2013
"Management, professional, and related","Credit analysts",19,,12,,2013
"Management, professional, and related","Financial analysts",33,,56,1757,2013
"Management, professional, and related","Personal financial advisors",72,1149,215,1565,2013
"Management, professional, and related","Insurance underwriters",61,879,37,,2013
"Management, professional, and related","Financial examiners",6,,4,,2013
"Management, professional, and related","Credit counselors and loan officers",208,864,152,1162,2013
"Management, professional, and related","Tax examiners and collectors, and revenue agents",43,,19,,2013
"Management, professional, and related","Tax preparers",34,,22,,2013
"Management, professional, and related","Financial specialists, all other",49,,38,,2013
"Management, professional, and related","Computer and information research scientists",3,,12,,2013
"Management, professional, and related","Computer systems analysts",158,1216,285,1455,2013
"Management, professional, and related","Information security analysts",10,,43,,2013
"Management, professional, and related","Computer programmers",106,1162,332,1428,2013
"Management, professional, and related","Software developers, applications and systems software",209,1370,844,1737,2013
"Management, professional, and related","Web developers",53,937,84,1157,2013
"Management, professional, and related","Computer support specialists",134,901,340,1019,2013
"Management, professional, and related","Database administrators",30,,65,1563,2013
"Management, professional, and related","Network and computer systems administrators",37,,173,1252,2013
"Management, professional, and related","Computer network architects",9,,122,1593,2013
"Management, professional, and related","Computer occupations, all other",81,1176,277,1136,2013
"Management, professional, and related","Actuaries",9,,17,,2013
"Management, professional, and related","Mathematicians",0,,2,,2013
"Management, professional, and related","Operations research analysts",63,1313,56,1569,2013
"Management, professional, and related","Statisticians",23,,42,,2013
"Management, professional, and related","Miscellaneous mathematical science occupations",1,,0,,2013
"Management, professional, and related","Architects, except naval",30,,88,1347,2013
"Management, professional, and related","Surveyors, cartographers, and photogrammetrists",9,,22,,2013
"Management, professional, and related","Aerospace engineers",13,,124,1873,2013
"Management, professional, and related","Agricultural engineers",0,,3,,2013
"Management, professional, and related","Biomedical engineers",2,,9,,2013
"Management, professional, and related","Chemical engineers",8,,48,,2013
"Management, professional, and related","Civil engineers",36,,288,1417,2013
