"type"	"occupation"	"w_number_of_workers"	"w_median_weekly_earnings"	"m_number_of_workers"	"m_median_weekly_earnings"	"t_number_of_workers"	"t_median_weekly_earnings"	"is_pay_gap"	"cents_on_the_dollar"	"pay_gap_weekly"	"pay_gap_yearly"	"year"
"Management, professional, and related"	"Chief executives"	245	1464	745	2122	990	1963	"y"	68	658	34216	2011
"Management, professional, and related"	"General and operations managers"	270	972	651	1319	921	1191	"y"	73	347	18044	2011
"Management, professional, and related"	"Legislators"	4		9		13						2011
"Management, professional, and related"	"Advertising and promotions managers"	40		28		68	1164					2011
"Management, professional, and related"	"Marketing and sales managers"	392	1127	499	1660	891	1408	"y"	67	533	27716	2011
"Management, professional, and related"	"Public relations and fundraising managers"	29		33		62	1475					2011
"Management, professional, and related"	"Administrative services managers"	44		71	1170	115	1021					2011
"Management, professional, and related"	"Computer and information systems managers"	138	1543	392	1595	530	1579	"y"	96	52	2704	2011
"Management, professional, and related"	"Financial managers"	567	991	477	1504	1044	1166	"y"	65	513	26676	2011
"Management, professional, and related"	"Compensation and benefits managers"	14		7		21						2011
"Management, professional, and related"	"Human resources managers"	149	1273	58	1488	207	1331	"y"	85	215	11180	2011
"Management, professional, and related"	"Training and development managers"	12		24		36						2011
"Management, professional, and related"	"Industrial production managers"	45		204	1245	250	1211					2011
"Management, professional, and related"	"Purchasing managers"	89	1026	94	1368	183	1242	"y"	75	342	17784	2011
"Management, professional, and related"	"Transportation, storage, and distribution managers"	33		196	861	229	882					2011
"Management, professional, and related"	"Farmers, ranchers, and other agricultural managers"	17		81	855	98	800					2011
"Management, professional, and related"	"Construction managers"	31		433	1325	464	1268					2011
"Management, professional, and related"	"Education administrators"	467	1061	268	1532	735	1228	"y"	69	471	24492	2011
"Management, professional, and related"	"Architectural and engineering managers"	7		91	1908	98	1914					2011
"Management, professional, and related"	"Food service managers"	314	599	361	734	675	660	"y"	81	135	7020	2011
"Management, professional, and related"	"Funeral service managers"	5		4		8						2011
"Management, professional, and related"	"Gaming managers"	7		15		22						2011
"Management, professional, and related"	"Lodging managers"	55	841	36		91	883					2011
"Management, professional, and related"	"Medical and health services managers"	325	1166	125	1456	450	1252	"y"	80	290	15080	2011
"Management, professional, and related"	"Natural sciences managers"	7		5		12						2011
"Management, professional, and related"	"Postmasters and mail superintendents"	19		10		29						2011
