"type","occupation","women_workers","women_earnings","men_workers","men_earnings","year"
"Management, professional, and related","Chief executives",286,1811,764,2266,2013
"Management, professional, and related","General and operations managers",250,1161,698,1444,2013
"Management, professional, and related","Marketing and sales managers",353,1124,476,1658,2013
"Management, professional, and related","Computer and information systems managers",163,1549,407,1769,2013
"Management, professional, and related","Financial managers",613,1064,514,1518,2013
"Management, professional, and related","Human resources managers",152,1240,60,1536,2013
"Management, professional, and related","Purchasing managers",89,1290,92,1441,2013
"Management, professional, and related","Transportation, storage, and distribution managers",58,920,194,1029,2013
"Management, professional, and related","Education administrators",450,1130,248,1543,2013
"Management, professional, and related","Food service managers",335,620,381,801,2013
"Management, professional, and related","Medical and health services managers",375,1224,154,1412,2013
"Management, professional, and related","Property, real estate, and community association managers",198,784,161,1068,2013
"Management, professional, and related","Social and community service managers",185,1004,94,1150,2013
"Management, professional, and related","Managers, all other",905,1105,1527,1399,2013
"Management, professional, and related","Wholesale and retail buyers, except farm products",88,930,71,871,2013
"Management, professional, and related","Purchasing agents, except wholesale, retail, and farm products",151,912,112,1116,2013
"Management, professional, and related","Claims adjusters, appraisers, examiners, and investigators",195,838,104,1144,2013
"Management, professional, and related","Compliance officers",99,1081,83,1170,2013
"Management, professional, and related","Human resources workers",366,958,131,1139,2013
"Management, professional, and related","Management analysts",229,1319,318,1614,2013
"Management, professional, and related","Market research analysts and marketing specialists",110,967,80,1171,2013
"Management, professional, and related","Business operations specialists, all other",110,899,69,1226,2013
"Management, professional, and related","Accountants and auditors",945,1029,571,1268,2013
"Management, professional, and related","Personal financial advisors",72,1149,215,1565,2013
"Management, professional, and related","Credit counselors and loan officers",208,864,152,1162,2013
"Management, professional, and related","Computer systems analysts",158,1216,285,1455,2013
"Management, professional, and related","Computer programmers",106,1162,332,1428,2013
"Management, professional, and related","Software developers, applications and systems software",209,1370,844,1737,2013
"Management, professional, and related","Web developers",53,937,84,1157,2013
"Management, professional, and related","Computer support specialists",134,901,340,1019,2013
"Management, professional, and related","Computer occupations, all other",81,1176,277,1136,2013
"Management, professional, and related","Operations research analysts",63,1313,56,1569,2013
"Management, professional, and related","Engineering technicians, except drafters",59,934,302,1027,2013
"Management, professional, and related","Biological scientists",53,1104,54,1233,2013
"Management, professional, and related","Medical scientists",73,1142,58,1430,2013
"Management, professional, and related","Counselors",391,884,178,889,2013
"Management, professional, and related","Social workers",507,818,129,978,2013
"Management, professional, and related","Lawyers",247,1566,463,1986,2013
"Management, professional, and related","Paralegals and legal assistants",287,825,50,923,2013
"Management, professional, and related","Miscellaneous legal support workers",148,787,51,1013,2013
"Management, professional, and related","Postsecondary teachers",424,1100,469,1338,2013
"Management, professional, and related","Elementary and middle school teachers",2138,937,531,1025,2013
"Management, professional, and related","Secondary school teachers",529,986,427,1093,2013
"Management, professional, and related","Special education teachers",271,944,65,977,2013
"Management, professional, and related","Other teachers and instructors",187,729,149,1055,2013
"Management, professional, and related","Teacher assistants",501,475,70,501,2013
"Management, professional, and related","Designers",244,866,270,1095,2013
"Management, professional, and related","Editors",59,988,53,1239,2013
"Management, professional, and related","Pharmacists",117,1802,98,2092,2013
"Management, professional, and related","Physicians and surgeons",241,1497,426,2087,2013
"Management, professional, and related","Physical therapists",87,1300,74,1457,2013
"Management, professional, and related","Registered nurses",2023,1086,254,1236,2013
"Management, professional, and related","Clinical laboratory technologists and technicians",226,858,81,980,2013
"Management, professional, and related","Diagnostic related technologists and technicians",195,909,92,959,2013
"Management, professional, and related","Emergency medical technicians and paramedics",58,785,82,832,2013
"Management, professional, and related","Health practitioner support technologists and technicians",337,613,78,664,2013
"Service","Nursing, psychiatric, and home health aides",1207,450,186,499,2013
"Service","Bailiffs, correctional officers, and jailers",120,599,298,729,2013
"Service","Police and sheriff's patrol officers",89,881,593,1032,2013
"Service","Security guards and gaming surveillance officers",125,500,517,549,2013
"Service","Chefs and head cooks",69,510,282,589,2013
"Service","First-line supervisors of food preparation and serving workers",249,448,174,580,2013
"Service","Cooks",418,382,791,411,2013
"Service","Food preparation workers",191,380,206,392,2013
"Service","Bartenders",109,483,98,594,2013
"Service","Combined food preparation and serving workers, including fast food",107,370,68,413,2013
"Service","Waiters and waitresses",558,400,325,449,2013
"Service","Dining room and cafeteria attendants and bartender helpers",55,398,76,426,2013
"Service","First-line supervisors of housekeeping and janitorial workers",78,511,108,801,2013
"Service","Janitors and building cleaners",421,418,1116,517,2013
"Service","Maids and housekeeping cleaners",605,406,128,467,2013
"Service","Personal care aides",539,445,119,470,2013
"Service","Recreation and fitness workers",123,523,90,561,2013
"Sales and office","First-line supervisors of retail sales workers",981,612,1338,778,2013
"Sales and office","First-line supervisors of non-retail sales workers",217,934,540,1004,2013
"Sales and office","Cashiers",932,379,418,426,2013
"Sales and office","Retail salespersons",737,485,1092,719,2013
"Sales and office","Advertising sales agents",96,868,110,1005,2013
"Sales and office","Insurance sales agents",216,733,216,1029,2013
"Sales and office","Securities, commodities, and financial services sales agents",75,863,145,1389,2013
