HRR,HRR_BDY_I,State,pc_psa,incidence,prostatectomy,radiation,hormone,no_treat
Birmingham,1,AL,36.9,9.4,286.5,364.6,391.9,207.9
Dothan,2,AL,41.4,5.6,281.4,267.8,298.6,376.4
Huntsville,3,AL,31.3,3.3,239.4,234.2,276.5,425.5
Mobile,4,AL,36.7,3.6,195.0,308.0,301.5,325.4
Montgomery,5,AL,44.9,3.3,,,468.5,
Tuscaloosa,6,AL,34.9,7.7,,300.1,516.2,
Anchorage,7,AK,26.7,4.9,177.0,,,471.5
Mesa,8,AZ,39.4,5.1,340.7,277.6,246.7,311.7
Phoenix,9,AZ,40.3,6.5,298.6,306.4,271.1,324.6
Sun City,10,AZ,55.1,10.9,248.0,253.2,360.3,307.1
Tucson,11,AZ,38.6,6.5,150.3,234.7,256.3,439.3
Fort Smith,12,AR,29.5,6.8,234.2,,418.5,378.1
Jonesboro,13,AR,29.1,2.4,,,,
Little Rock,14,AR,43.6,19.3,300.2,253.3,319.4,358.8
Springdale,15,AR,40.4,7.7,118.9,297.0,259.3,443.7
Texarkana,16,AR,45.8,4.0,421.9,,,
Orange County,17,CA,47.2,7.3,253.8,161.1,326.5,439.2
Bakersfield,18,CA,36.8,5.6,174.0,251.9,453.1,183.3
Chico,19,CA,24.0,8.0,158.0,170.3,229.8,500.6
Contra Costa County,20,CA,16.5,6.2,129.9,205.5,334.4,365.4
Fresno,21,CA,34.8,3.3,201.1,,466.1,268.6
Los Angeles,22,CA,46.2,8.3,207.7,191.6,322.8,392.3
Modesto,23,CA,31.4,4.7,175.0,233.5,355.1,353.4
Napa,24,CA,9.0,8.2,151.7,257.4,302.5,360.7
Alameda County,25,CA,31.3,6.9,137.6,344.8,234.4,352.6
Palm Springs/Rancho Mirage,26,CA,24.8,6.3,411.2,224.2,228.3,491.5
Redding,27,CA,30.2,5.3,309.0,211.0,330.6,394.2
Sacramento,28,CA,23.9,6.7,185.7,311.7,375.4,276.3
Salinas,29,CA,24.4,5.1,,,282.1,435.9
San Bernardino,30,CA,32.4,6.8,183.5,117.7,343.8,427.3
San Diego,31,CA,37.8,5.1,230.7,242.9,324.0,346.0
San Francisco,32,CA,17.7,10.5,153.4,244.4,238.9,483.7
San Jose,33,CA,38.8,5.4,101.7,296.3,277.8,402.9
San Luis Obispo,34,CA,29.4,5.9,,,,483.3
San Mateo County,35,CA,21.2,7.2,177.1,299.6,208.9,453.5
Santa Barbara,36,CA,37.5,6.2,144.0,227.5,293.4,417.2
Santa Cruz,37,CA,38.5,5.8,,,,462.0
