"Country Name","Country Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Aruba","ABW",,,,,,,,,,,,,,,,,,,,,,"36016.4837574639",,,
"Andorra","AND",,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG",,,,,,,,,,,,,"867.827280838651","921.98805293432","921.29018421896","1021.28878846907","1077.75296492359","1224.08279492404","1260.39613989233","1499.58013092562","1605.76127605593","1695.15343604723","1926.17204371973","1989.61329242518",
"Angola","AGO","2740.99840286506","2714.41976553665","2502.52516234663","1866.57922842732","1910.65701975402","2089.05525594541","2299.53910596357","2456.68523777607","2582.43476986214","2629.50416208752","2687.8298304113","2773.76354177882","3097.71411329469","3210.16107256914","3529.79823316662","4160.4600297437","5002.76156741709","6085.94870723793","6830.17768250217","6820.81914446835","6911.32095373209","7094.08401189458","7359.22964544018","7538.1911705644",
"Albania","ALB","2843.95097625154","2081.56884862472","1987.76479745885","2244.08711836697","2497.36719838458","2906.43838066084","3248.96675403622","2986.10835813751","3423.32645115929","3847.19882009936","4248.83626399532","4688.23041406243","4918.68103539239","5334.00198415976","5840.28444874113","6405.56256295092","7243.90272023799","7728.11575371867","8873.77897924489","9520.72127699395","9481.92675888712","10115.629605259","10154.4851388483","10488.8225273186",
"Andean Region","ANR",,,,,,,,,,,,,,,,,,,,,,,,,
"Arab World","ARB","6500.07519530472","6850.46275874575","7164.82961591967","7342.45760434613","7550.0395986142","7699.52666569861","8020.8302403788","8295.18443052443","8514.892069933","8645.35828006839","9099.43458786689","9339.90642716329","9425.07621439644","9754.49547626509","10728.2142517236","11472.9039138554","12358.5991360637","13088.2551684396","13842.9781358388","13927.2530031444","14509.1080583031","14858.4636784396","15630.3117335622","15990.8536433576",
"United Arab Emirates","ARE","74974.2853869257","73977.6428660283","74117.7567865919","72920.2937217694","75649.0490582704","78383.6349478989","80188.0843998885","83566.6027599306","80273.6175887339","79725.0867138295","86422.1743565836","86612.4763354589","87516.5986294485","92933.4139516402","96339.8888517431","91938.4785123159","88572.0206908942","78902.0298063935","70785.3133453955","59812.3832829259","56274.7801754036","56376.7699227134","58041.8795805189",,
"Argentina","ARG",,,,,,,,,,,,,,,,,,,,,,,,,
"Armenia","ARM","2419.65896934315","2228.23143635735","1350.40376801809","1290.74587498142","1423.07876174511","1585.17621463853","1735.59015421983","1844.70671721798","2016.71364131571","2126.08761780698","2315.95240684574","2609.09999112537","3011.27506057642","3515.36448451618","4003.48654894241","4721.56275943188","5531.04385556591","6486.63180851254","7099.09590934186","6160.79691518335","6382.56592431925","6812.35195593287","7418.10023738807","7774.38478396039",
