"iso_a3","region","income_group"
"ABW","Latin America & Caribbean","High income"
"AFG","South Asia","Low income"
"AGO","Sub-Saharan Africa","Upper middle income"
"ALB","Europe & Central Asia","Upper middle income"
"AND","Europe & Central Asia","High income"
"ARE","Middle East & North Africa","High income"
"ARG","Latin America & Caribbean","Upper middle income"
"ARM","Europe & Central Asia","Lower middle income"
"ASM","East Asia & Pacific","Upper middle income"
"ATG","Latin America & Caribbean","High income"
"AUS","East Asia & Pacific","High income"
"AUT","Europe & Central Asia","High income"
"AZE","Europe & Central Asia","Upper middle income"
"BDI","Sub-Saharan Africa","Low income"
"BEL","Europe & Central Asia","High income"
"BEN","Sub-Saharan Africa","Low income"
"BFA","Sub-Saharan Africa","Low income"
"BGD","South Asia","Low income"
"BGR","Europe & Central Asia","Upper middle income"
"BHR","Middle East & North Africa","High income"
"BHS","Latin America & Caribbean","High income"
"BIH","Europe & Central Asia","Upper middle income"
"BLR","Europe & Central Asia","Upper middle income"
"BLZ","Latin America & Caribbean","Upper middle income"
"BMU","North America","High income"
"BOL","Latin America & Caribbean","Lower middle income"
"BRA","Latin America & Caribbean","Upper middle income"
"BRB","Latin America & Caribbean","High income"
"BRN","East Asia & Pacific","High income"
"BTN","South Asia","Lower middle income"
"BWA","Sub-Saharan Africa","Upper middle income"
"CAF","Sub-Saharan Africa","Low income"
"CAN","North America","High income"
"CHE","Europe & Central Asia","High income"
"CHI","Europe & Central Asia","High income"
"CHL","Latin America & Caribbean","High income"
"CHN","East Asia & Pacific","Upper middle income"
"CIV","Sub-Saharan Africa","Lower middle income"
"CMR","Sub-Saharan Africa","Lower middle income"
"COD","Sub-Saharan Africa","Low income"
"COG","Sub-Saharan Africa","Lower middle income"
"COL","Latin America & Caribbean","Upper middle income"
"COM","Sub-Saharan Africa","Low income"
"CPV","Sub-Saharan Africa","Lower middle income"
"CRI","Latin America & Caribbean","Upper middle income"
"CUB","Latin America & Caribbean","Upper middle income"
"CUW","Latin America & Caribbean","High income"
"CYM","Latin America & Caribbean","High income"
"CYP","Europe & Central Asia","High income"
"CZE","Europe & Central Asia","High income"
"DEU","Europe & Central Asia","High income"
"DJI","Middle East & North Africa","Lower middle income"
"DMA","Latin America & Caribbean","Upper middle income"
"DNK","Europe & Central Asia","High income"
"DOM","Latin America & Caribbean","Upper middle income"
"DZA","Middle East & North Africa","Upper middle income"
"ECU","Latin America & Caribbean","Upper middle income"
"EGY","Middle East & North Africa","Lower middle income"
"ERI","Sub-Saharan Africa","Low income"
"ESP","Europe & Central Asia","High income"
"EST","Europe & Central Asia","High income"
"ETH","Sub-Saharan Africa","Low income"
"FIN","Europe & Central Asia","High income"
"FJI","East Asia & Pacific","Upper middle income"
"FRA","Europe & Central Asia","High income"
"FRO","Europe & Central Asia","High income"
"FSM","East Asia & Pacific","Lower middle income"
"GAB","Sub-Saharan Africa","Upper middle income"
"GBR","Europe & Central Asia","High income"
"GEO","Europe & Central Asia","Lower middle income"
"GHA","Sub-Saharan Africa","Lower middle income"
"GIN","Sub-Saharan Africa","Low income"
"GMB","Sub-Saharan Africa","Low income"
"GNB","Sub-Saharan Africa","Low income"
"GNQ","Sub-Saharan Africa","High income"
"GRC","Europe & Central Asia","High income"
"GRD","Latin America & Caribbean","Upper middle income"
"GRL","Europe & Central Asia","High income"
"GTM","Latin America & Caribbean","Lower middle income"
"GUM","East Asia & Pacific","High income"
"GUY","Latin America & Caribbean","Lower middle income"
"HKG","East Asia & Pacific","High income"
"HND","Latin America & Caribbean","Lower middle income"
"HRV","Europe & Central Asia","High income"
"HTI","Latin America & Caribbean","Low income"
"HUN","Europe & Central Asia","Upper middle income"
"IDN","East Asia & Pacific","Lower middle income"
"IMY","Europe & Central Asia","High income"
"IND","South Asia","Lower middle income"
"IRL","Europe & Central Asia","High income"
"IRN","Middle East & North Africa","Upper middle income"
"IRQ","Middle East & North Africa","Upper middle income"
"ISL","Europe & Central Asia","High income"
"ISR","Middle East & North Africa","High income"
"ITA","Europe & Central Asia","High income"
"JAM","Latin America & Caribbean","Upper middle income"
"JOR","Middle East & North Africa","Upper middle income"
"JPN","East Asia & Pacific","High income"
"KAZ","Europe & Central Asia","Upper middle income"
"KEN","Sub-Saharan Africa","Low income"
"KGZ","Europe & Central Asia","Lower middle income"
"KHM","East Asia & Pacific","Low income"
"KIR","East Asia & Pacific","Lower middle income"
"KNA","Latin America & Caribbean","High income"
"KOR","East Asia & Pacific","High income"
"KSV","Europe & Central Asia","Lower middle income"
"KWT","Middle East & North Africa","High income"
"LAO","East Asia & Pacific","Lower middle income"
"LBN","Middle East & North Africa","Upper middle income"
"LBR","Sub-Saharan Africa","Low income"
"LBY","Middle East & North Africa","Upper middle income"
"LCA","Latin America & Caribbean","Upper middle income"
"LIE","Europe & Central Asia","High income"
"LKA","South Asia","Lower middle income"
"LSO","Sub-Saharan Africa","Lower middle income"
"LTU","Europe & Central Asia","High income"
"LUX","Europe & Central Asia","High income"
"LVA","Europe & Central Asia","High income"
"MAC","East Asia & Pacific","High income"
"MAF","Latin America & Caribbean","High income"
"MAR","Middle East & North Africa","Lower middle income"
"MCO","Europe & Central Asia","High income"
"MDA","Europe & Central Asia","Lower middle income"
"MDG","Sub-Saharan Africa","Low income"
"MDV","South Asia","Upper middle income"
"MEX","Latin America & Caribbean","Upper middle income"
"MHL","East Asia & Pacific","Upper middle income"
"MKD","Europe & Central Asia","Upper middle income"
"MLI","Sub-Saharan Africa","Low income"
"MLT","Middle East & North Africa","High income"
"MMR","East Asia & Pacific","Low income"
"MNE","Europe & Central Asia","Upper middle income"
"MNG","East Asia & Pacific","Lower middle income"
"MNP","East Asia & Pacific","High income"
"MOZ","Sub-Saharan Africa","Low income"
