"iso_a3","country","year","region","income_group","gdp_pc","life_expect","population"
"ABW","Aruba",1990,"Latin America & Caribbean","High income",,73.3899756097561,62148
"ABW","Aruba",1991,"Latin America & Caribbean","High income",,73.4331219512195,64623
"ABW","Aruba",1992,"Latin America & Caribbean","High income",,73.471756097561,68235
"ABW","Aruba",1993,"Latin America & Caribbean","High income",,73.5053170731707,72498
"ABW","Aruba",1994,"Latin America & Caribbean","High income",,73.535756097561,76700
"ABW","Aruba",1995,"Latin America & Caribbean","High income",,73.5636097560976,80326
"ABW","Aruba",1996,"Latin America & Caribbean","High income",,73.5894390243902,83195
"ABW","Aruba",1997,"Latin America & Caribbean","High income",,73.6148048780488,85447
"ABW","Aruba",1998,"Latin America & Caribbean","High income",,73.6422926829268,87276
"ABW","Aruba",1999,"Latin America & Caribbean","High income",,73.6753902439025,89004
"ABW","Aruba",2000,"Latin America & Caribbean","High income",,73.7206097560976,90858
"ABW","Aruba",2001,"Latin America & Caribbean","High income",,73.7829024390244,92894
"ABW","Aruba",2002,"Latin America & Caribbean","High income",,73.865243902439,94995
"ABW","Aruba",2003,"Latin America & Caribbean","High income",,73.9685609756098,97015
"ABW","Aruba",2004,"Latin America & Caribbean","High income",,74.0908536585366,98742
"ABW","Aruba",2005,"Latin America & Caribbean","High income",,74.2280731707317,100031
"ABW","Aruba",2006,"Latin America & Caribbean","High income",,74.3757073170732,100830
"ABW","Aruba",2007,"Latin America & Caribbean","High income",,74.526243902439,101219
"ABW","Aruba",2008,"Latin America & Caribbean","High income",,74.6742195121951,101344
"ABW","Aruba",2009,"Latin America & Caribbean","High income",,74.8161463414634,101418
"ABW","Aruba",2010,"Latin America & Caribbean","High income",,74.9520243902439,101597
"ABW","Aruba",2011,"Latin America & Caribbean","High income",36016.4837574639,75.0803902439025,101932
"ABW","Aruba",2012,"Latin America & Caribbean","High income",,75.206756097561,102384
"ABW","Aruba",2013,"Latin America & Caribbean","High income",,,102911
"AFG","Afghanistan",1990,"South Asia","Low income",,48.5670487804878,11731193
"AFG","Afghanistan",1991,"South Asia","Low income",,49.4045609756098,12612043
"AFG","Afghanistan",1992,"South Asia","Low income",,50.2131219512195,13811876
"AFG","Afghanistan",1993,"South Asia","Low income",,50.985243902439,15175325
"AFG","Afghanistan",1994,"South Asia","Low income",,51.7093902439024,16485018
"AFG","Afghanistan",1995,"South Asia","Low income",,52.3750731707317,17586073
"AFG","Afghanistan",1996,"South Asia","Low income",,52.9727804878049,18415307
"AFG","Afghanistan",1997,"South Asia","Low income",,53.5084878048781,19021226
"AFG","Afghanistan",1998,"South Asia","Low income",,53.9921951219512,19496836
"AFG","Afghanistan",1999,"South Asia","Low income",,54.4328780487805,19987071
"AFG","Afghanistan",2000,"South Asia","Low income",,54.8485609756098,20595360
"AFG","Afghanistan",2001,"South Asia","Low income",,55.2562195121951,21347782
"AFG","Afghanistan",2002,"South Asia","Low income",866.70445306671,55.6718780487805,22202806
"AFG","Afghanistan",2003,"South Asia","Low income",920.748143536978,56.1075609756098,23116142
"AFG","Afghanistan",2004,"South Asia","Low income",920.106877255381,56.5697317073171,24018682
"AFG","Afghanistan",2005,"South Asia","Low income",1020.07279107041,57.0584390243903,24860855
"AFG","Afghanistan",2006,"South Asia","Low income",1076.46137755223,57.5706585365854,25631282
"AFG","Afghanistan",2007,"South Asia","Low income",1222.76409923143,58.0913658536585,26349243
"AFG","Afghanistan",2008,"South Asia","Low income",1258.73994429474,58.6070975609756,27032197
"AFG","Afghanistan",2009,"South Asia","Low income",1497.88425632092,59.1123414634146,27708187
"AFG","Afghanistan",2010,"South Asia","Low income",1604.19145658038,59.6000975609756,28397812
"AFG","Afghanistan",2011,"South Asia","Low income",1695.1534360731,60.0653658536585,29105480
"AFG","Afghanistan",2012,"South Asia","Low income",1927.1387671297,60.5091219512195,29824536
"AFG","Afghanistan",2013,"South Asia","Low income",1946.19380603184,,30551674
"AGO","Angola",1990,"Sub-Saharan Africa","Upper middle income",2801.45554782249,41.1383414634146,10333844
"AGO","Angola",1991,"Sub-Saharan Africa","Upper middle income",2727.68991440522,41.2063414634146,10652727
"AGO","Angola",1992,"Sub-Saharan Africa","Upper middle income",2541.08594121148,41.3130243902439,11002758
"AGO","Angola",1993,"Sub-Saharan Africa","Upper middle income",1866.82607697858,41.4781951219512,11372156
"AGO","Angola",1994,"Sub-Saharan Africa","Upper middle income",1908.13946046239,41.716243902439,11743432
"AGO","Angola",1995,"Sub-Saharan Africa","Upper middle income",2086.34341992936,42.0514634146341,12104952
"AGO","Angola",1996,"Sub-Saharan Africa","Upper middle income",2296.46592460767,42.5016341463415,12451945
"AGO","Angola",1997,"Sub-Saharan Africa","Upper middle income",2453.63920529218,43.0621219512195,12791388
"AGO","Angola",1998,"Sub-Saharan Africa","Upper middle income",2579.23069145257,43.7142682926829,13137542
"AGO","Angola",1999,"Sub-Saharan Africa","Upper middle income",2626.33065426854,44.439,13510616
"AGO","Angola",2000,"Sub-Saharan Africa","Upper middle income",2684.77463506197,45.2047804878049,13924930
"AGO","Angola",2001,"Sub-Saharan Africa","Upper middle income",2770.24008509718,45.9731463414634,14385283
"AGO","Angola",2002,"Sub-Saharan Africa","Upper middle income",3093.70563264484,46.7117317073171,14886574
"AGO","Angola",2003,"Sub-Saharan Africa","Upper middle income",3205.84341849113,47.3931707317073,15421075
"AGO","Angola",2004,"Sub-Saharan Africa","Upper middle income",3525.263937929,48.003512195122,15976715
"AGO","Angola",2005,"Sub-Saharan Africa","Upper middle income",4155.50302347808,48.5388048780488,16544376
"AGO","Angola",2006,"Sub-Saharan Africa","Upper middle income",4996.76653548488,49.0070487804878,17122409
"AGO","Angola",2007,"Sub-Saharan Africa","Upper middle income",6079.39017136304,49.4357317073171,17712824
"AGO","Angola",2008,"Sub-Saharan Africa","Upper middle income",6821.20299424074,49.8473902439024,18314441
"AGO","Angola",2009,"Sub-Saharan Africa","Upper middle income",6813.1030476225,50.2510243902439,18926650
"AGO","Angola",2010,"Sub-Saharan Africa","Upper middle income",6904.56260697824,50.6541707317073,19549124
"AGO","Angola",2011,"Sub-Saharan Africa","Upper middle income",7094.08430203827,51.0593170731707,20180490
"AGO","Angola",2012,"Sub-Saharan Africa","Upper middle income",7360.59859526429,51.464,20820525
"AGO","Angola",2013,"Sub-Saharan Africa","Upper middle income",7736.17468163313,,21471618
"ALB","Albania",1990,"Europe & Central Asia","Upper middle income",2843.94328072607,71.9573170731707,3286542
"ALB","Albania",1991,"Europe & Central Asia","Upper middle income",2081.34558154916,71.9184146341463,3266790
"ALB","Albania",1992,"Europe & Central Asia","Upper middle income",1987.55740279707,71.9008048780488,3247039
"ALB","Albania",1993,"Europe & Central Asia","Upper middle income",2243.9182859309,71.9358536585366,3227287
"ALB","Albania",1994,"Europe & Central Asia","Upper middle income",2497.06319390141,72.0419512195122,3207536
"ALB","Albania",1995,"Europe & Central Asia","Upper middle income",2906.14139466581,72.2360243902439,3187784
"ALB","Albania",1996,"Europe & Central Asia","Upper middle income",3248.51012672996,72.5274146341463,3168033
"ALB","Albania",1997,"Europe & Central Asia","Upper middle income",2985.97729281793,72.8980975609756,3148281
"ALB","Albania",1998,"Europe & Central Asia","Upper middle income",3423.17336949248,73.3265853658537,3128530
"ALB","Albania",1999,"Europe & Central Asia","Upper middle income",3847.15711084088,73.7933902439025,3108778
"ALB","Albania",2000,"Europe & Central Asia","Upper middle income",4249.08885750581,74.2720731707317,3089027
"ALB","Albania",2001,"Europe & Central Asia","Upper middle income",4687.88201805671,74.7342195121951,3064111
