name,year,month,day,hour,minute,timestamp,record_ident,status,latitude,longitude,max_wind_kts,max_wind_kph,max_wind_mph,min_press
Unnamed 1,1990,5,24,18,0,1990-05-24T18:00:00Z, ,TD,18.8,-84.0,25,46,29,
Unnamed 1,1990,5,25,0,0,1990-05-25T00:00:00Z, ,TD,19.7,-84.0,25,46,29,
Unnamed 1,1990,5,25,6,0,1990-05-25T06:00:00Z, ,TD,20.7,-83.7,25,46,29,
Unnamed 1,1990,5,25,12,0,1990-05-25T12:00:00Z, ,TD,21.8,-83.3,25,46,29,
Unnamed 1,1990,5,25,18,0,1990-05-25T18:00:00Z, ,TD,23.0,-82.8,25,46,29,
Unnamed 1,1990,5,26,0,0,1990-05-26T00:00:00Z, ,TD,24.0,-82.2,25,46,29,
Unnamed 1,1990,5,26,6,0,1990-05-26T06:00:00Z, ,TD,24.0,-82.2,25,46,29,
Arthur,1990,7,22,6,0,1990-07-22T06:00:00Z, ,TD,8.8,-41.9,25,46,29,1010
Arthur,1990,7,22,12,0,1990-07-22T12:00:00Z, ,TD,8.9,-43.2,25,46,29,1010
Arthur,1990,7,22,18,0,1990-07-22T18:00:00Z, ,TD,9.3,-44.6,25,46,29,1010
Arthur,1990,7,23,0,0,1990-07-23T00:00:00Z, ,TD,9.3,-46.4,25,46,29,1010
Arthur,1990,7,23,6,0,1990-07-23T06:00:00Z, ,TD,9.2,-48.4,25,46,29,1010
Arthur,1990,7,23,12,0,1990-07-23T12:00:00Z, ,TD,9.2,-50.3,25,46,29,1010
Arthur,1990,7,23,18,0,1990-07-23T18:00:00Z, ,TD,9.4,-52.1,25,46,29,1009
Arthur,1990,7,24,0,0,1990-07-24T00:00:00Z, ,TD,9.7,-53.7,30,56,35,1008
Arthur,1990,7,24,6,0,1990-07-24T06:00:00Z, ,TD,10.1,-55.3,30,56,35,1007
Arthur,1990,7,24,12,0,1990-07-24T12:00:00Z, ,TS,10.5,-56.8,35,65,40,1006
Arthur,1990,7,24,18,0,1990-07-24T18:00:00Z, ,TS,10.8,-58.5,35,65,40,1005
Arthur,1990,7,25,0,0,1990-07-25T00:00:00Z, ,TS,11.1,-60.0,40,74,46,1004
Arthur,1990,7,25,6,0,1990-07-25T06:00:00Z, ,TS,11.7,-61.3,45,83,52,1003
Arthur,1990,7,25,12,0,1990-07-25T12:00:00Z, ,TS,12.4,-62.5,50,93,58,1001
Arthur,1990,7,25,18,0,1990-07-25T18:00:00Z, ,TS,13.1,-63.7,60,111,69,995
Arthur,1990,7,26,0,0,1990-07-26T00:00:00Z, ,TS,13.7,-65.0,60,111,69,997
Arthur,1990,7,26,6,0,1990-07-26T06:00:00Z, ,TS,14.2,-66.4,50,93,58,1000
Arthur,1990,7,26,12,0,1990-07-26T12:00:00Z, ,TS,14.8,-67.9,45,83,52,1002
Arthur,1990,7,26,18,0,1990-07-26T18:00:00Z, ,TS,15.6,-69.8,40,74,46,1007
Arthur,1990,7,27,0,0,1990-07-27T00:00:00Z, ,TS,16.2,-71.8,35,65,40,1009
Arthur,1990,7,27,6,0,1990-07-27T06:00:00Z, ,TD,16.6,-73.8,30,56,35,1010
Arthur,1990,7,27,12,0,1990-07-27T12:00:00Z, ,TD,16.5,-75.6,30,56,35,1010
Bertha,1990,7,24,12,0,1990-07-24T12:00:00Z, ,SD,34.0,-75.0,20,37,23,1012
Bertha,1990,7,24,18,0,1990-07-24T18:00:00Z, ,SD,33.6,-73.8,20,37,23,1013
Bertha,1990,7,25,0,0,1990-07-25T00:00:00Z, ,SD,33.0,-72.7,20,37,23,1013
Bertha,1990,7,25,6,0,1990-07-25T06:00:00Z, ,SD,32.1,-71.9,20,37,23,1013
Bertha,1990,7,25,12,0,1990-07-25T12:00:00Z, ,SD,31.2,-71.8,20,37,23,1012
Bertha,1990,7,25,18,0,1990-07-25T18:00:00Z, ,SD,30.7,-72.2,25,46,29,1011
Bertha,1990,7,26,0,0,1990-07-26T00:00:00Z, ,SD,30.5,-72.8,25,46,29,1010
Bertha,1990,7,26,6,0,1990-07-26T06:00:00Z, ,SD,30.3,-73.4,25,46,29,1010
Bertha,1990,7,26,12,0,1990-07-26T12:00:00Z, ,SD,30.1,-74.0,25,46,29,1010
Bertha,1990,7,26,18,0,1990-07-26T18:00:00Z, ,SD,29.8,-74.6,25,46,29,1010
Bertha,1990,7,27,0,0,1990-07-27T00:00:00Z, ,SD,29.6,-75.2,25,46,29,1009
